X;CH1;CH2;Start;Increment
Sequence;Volt;Volt;-6,00E-06;1,00E-08
0;6,00E-03;-2,88E+00;;
1;6,00E-03;-2,88E+00;;
2;4,00E-03;-2,96E+00;;
3;4,00E-03;-2,96E+00;;
4;-2,00E-03;-3,04E+00;;
5;-2,00E-03;-3,04E+00;;
6;0,00E+00;-3,04E+00;;
7;0,00E+00;-3,04E+00;;
8;2,00E-03;-3,12E+00;;
9;2,00E-03;-3,12E+00;;
10;0,00E+00;-3,12E+00;;
11;0,00E+00;-3,12E+00;;
12;-2,00E-03;-3,20E+00;;
13;-2,00E-03;-3,20E+00;;
14;-2,00E-03;-3,28E+00;;
15;-2,00E-03;-3,28E+00;;
16;0,00E+00;-3,28E+00;;
17;0,00E+00;-3,28E+00;;
18;2,00E-03;-3,36E+00;;
19;2,00E-03;-3,36E+00;;
20;0,00E+00;-3,36E+00;;
21;0,00E+00;-3,36E+00;;
22;0,00E+00;-3,44E+00;;
23;0,00E+00;-3,44E+00;;
24;0,00E+00;-3,44E+00;;
25;0,00E+00;-3,44E+00;;
26;2,00E-03;-3,52E+00;;
27;2,00E-03;-3,52E+00;;
28;0,00E+00;-3,52E+00;;
29;0,00E+00;-3,52E+00;;
30;2,00E-03;-3,60E+00;;
31;2,00E-03;-3,60E+00;;
32;0,00E+00;-3,68E+00;;
33;0,00E+00;-3,68E+00;;
34;-2,00E-03;-3,68E+00;;
35;-2,00E-03;-3,68E+00;;
36;0,00E+00;-3,68E+00;;
37;0,00E+00;-3,68E+00;;
38;4,00E-03;-3,76E+00;;
39;4,00E-03;-3,76E+00;;
40;2,00E-03;-3,76E+00;;
41;2,00E-03;-3,76E+00;;
42;2,00E-03;-3,84E+00;;
43;2,00E-03;-3,84E+00;;
44;2,00E-03;-3,84E+00;;
45;2,00E-03;-3,84E+00;;
46;0,00E+00;-3,84E+00;;
47;0,00E+00;-3,84E+00;;
48;2,00E-03;-3,92E+00;;
49;2,00E-03;-3,92E+00;;
50;2,00E-03;-3,92E+00;;
51;2,00E-03;-3,92E+00;;
52;-2,00E-03;-3,92E+00;;
53;-2,00E-03;-3,92E+00;;
54;-2,00E-03;-3,92E+00;;
55;-2,00E-03;-3,92E+00;;
56;0,00E+00;-4,00E+00;;
57;0,00E+00;-4,00E+00;;
58;-4,00E-03;-4,00E+00;;
59;-4,00E-03;-4,00E+00;;
60;-4,00E-03;-4,00E+00;;
61;-4,00E-03;-4,00E+00;;
62;-2,00E-03;-4,00E+00;;
63;-2,00E-03;-4,00E+00;;
64;-2,00E-03;-4,08E+00;;
65;-2,00E-03;-4,08E+00;;
66;-2,00E-03;-4,08E+00;;
67;-2,00E-03;-4,08E+00;;
68;-2,00E-03;-4,08E+00;;
69;-2,00E-03;-4,08E+00;;
70;-4,00E-03;-4,08E+00;;
71;-4,00E-03;-4,08E+00;;
72;-2,00E-03;-4,08E+00;;
73;-2,00E-03;-4,08E+00;;
74;4,00E-03;-4,08E+00;;
75;4,00E-03;-4,08E+00;;
76;0,00E+00;-4,16E+00;;
77;0,00E+00;-4,16E+00;;
78;-2,00E-03;-4,16E+00;;
79;-2,00E-03;-4,16E+00;;
80;-4,00E-03;-4,16E+00;;
81;-4,00E-03;-4,16E+00;;
82;-4,00E-03;-4,16E+00;;
83;-4,00E-03;-4,16E+00;;
84;-2,00E-03;-4,16E+00;;
85;-2,00E-03;-4,16E+00;;
86;0,00E+00;-4,16E+00;;
87;0,00E+00;-4,16E+00;;
88;-4,00E-03;-4,16E+00;;
89;-4,00E-03;-4,16E+00;;
90;-4,00E-03;-4,16E+00;;
91;-4,00E-03;-4,16E+00;;
92;4,00E-03;-4,16E+00;;
93;4,00E-03;-4,16E+00;;
94;4,00E-03;-4,16E+00;;
95;4,00E-03;-4,16E+00;;
96;0,00E+00;-4,08E+00;;
97;0,00E+00;-4,08E+00;;
98;-2,00E-03;-4,08E+00;;
99;-2,00E-03;-4,08E+00;;
100;-2,00E-03;-4,08E+00;;
101;-2,00E-03;-4,08E+00;;
102;-2,00E-03;-4,08E+00;;
103;-2,00E-03;-4,08E+00;;
104;-6,00E-03;-4,08E+00;;
105;-6,00E-03;-4,08E+00;;
106;-1,20E-02;-4,08E+00;;
107;-1,20E-02;-4,08E+00;;
108;-1,00E-02;-4,00E+00;;
109;-1,00E-02;-4,00E+00;;
110;-2,00E-03;-4,00E+00;;
111;-2,00E-03;-4,00E+00;;
112;-4,00E-03;-4,00E+00;;
113;-4,00E-03;-4,00E+00;;
114;-8,00E-03;-4,00E+00;;
115;-8,00E-03;-4,00E+00;;
116;-4,00E-03;-3,92E+00;;
117;-4,00E-03;-3,92E+00;;
118;-2,00E-03;-3,92E+00;;
119;-2,00E-03;-3,92E+00;;
