X;CH1;CH2;Start;Increment
Sequence;Volt;Volt;-6,00E-06;1,00E-08
0;1,60E-02;3,04E+00;;
1;1,60E-02;3,04E+00;;
2;2,00E-03;3,04E+00;;
3;2,00E-03;3,04E+00;;
4;-2,00E-03;2,88E+00;;
5;-2,00E-03;2,88E+00;;
6;-6,00E-03;2,88E+00;;
7;-6,00E-03;2,88E+00;;
8;-1,60E-02;2,64E+00;;
9;-1,60E-02;2,64E+00;;
10;-6,00E-03;2,64E+00;;
11;-6,00E-03;2,64E+00;;
12;0,00E+00;2,40E+00;;
13;0,00E+00;2,40E+00;;
14;-8,00E-03;2,40E+00;;
15;-8,00E-03;2,40E+00;;
16;-4,00E-03;2,24E+00;;
17;-4,00E-03;2,24E+00;;
18;6,00E-03;2,24E+00;;
19;6,00E-03;2,24E+00;;
20;6,00E-03;2,00E+00;;
21;6,00E-03;2,00E+00;;
22;1,00E-02;2,00E+00;;
23;1,00E-02;2,00E+00;;
24;1,00E-02;1,76E+00;;
25;1,00E-02;1,76E+00;;
26;6,00E-03;1,76E+00;;
27;6,00E-03;1,76E+00;;
28;6,00E-03;1,52E+00;;
29;6,00E-03;1,52E+00;;
30;1,20E-02;1,52E+00;;
31;1,20E-02;1,52E+00;;
32;1,00E-02;1,28E+00;;
33;1,00E-02;1,28E+00;;
34;1,00E-02;1,28E+00;;
35;1,00E-02;1,28E+00;;
36;1,80E-02;1,04E+00;;
37;1,80E-02;1,04E+00;;
38;1,80E-02;1,04E+00;;
39;1,80E-02;1,04E+00;;
40;1,60E-02;8,00E-01;;
41;1,60E-02;8,00E-01;;
42;2,20E-02;8,00E-01;;
43;2,20E-02;8,00E-01;;
44;2,20E-02;5,60E-01;;
45;2,20E-02;5,60E-01;;
46;2,00E-02;5,60E-01;;
47;2,00E-02;5,60E-01;;
48;2,60E-02;3,20E-01;;
49;2,60E-02;3,20E-01;;
50;2,20E-02;3,20E-01;;
51;2,20E-02;3,20E-01;;
52;2,80E-02;8,00E-02;;
53;2,80E-02;8,00E-02;;
54;3,80E-02;8,00E-02;;
55;3,80E-02;8,00E-02;;
56;3,60E-02;-1,60E-01;;
57;3,60E-02;-1,60E-01;;
58;3,00E-02;-1,60E-01;;
59;3,00E-02;-1,60E-01;;
60;3,40E-02;-4,80E-01;;
61;3,40E-02;-4,80E-01;;
62;3,00E-02;-4,80E-01;;
63;3,00E-02;-4,80E-01;;
64;3,40E-02;-7,20E-01;;
65;3,40E-02;-7,20E-01;;
66;4,80E-02;-7,20E-01;;
67;4,80E-02;-7,20E-01;;
68;3,60E-02;-8,80E-01;;
69;3,60E-02;-8,80E-01;;
70;3,60E-02;-8,80E-01;;
71;3,60E-02;-8,80E-01;;
72;5,20E-02;-1,20E+00;;
73;5,20E-02;-1,20E+00;;
74;5,80E-02;-1,20E+00;;
75;5,80E-02;-1,20E+00;;
76;5,60E-02;-1,44E+00;;
77;5,60E-02;-1,44E+00;;
78;5,40E-02;-1,44E+00;;
79;5,40E-02;-1,44E+00;;
80;5,20E-02;-1,60E+00;;
81;5,20E-02;-1,60E+00;;
82;6,00E-02;-1,60E+00;;
83;6,00E-02;-1,60E+00;;
84;6,60E-02;-1,92E+00;;
85;6,60E-02;-1,92E+00;;
86;6,60E-02;-1,92E+00;;
87;6,60E-02;-1,92E+00;;
88;7,20E-02;-2,16E+00;;
89;7,20E-02;-2,16E+00;;
90;8,40E-02;-2,16E+00;;
91;8,40E-02;-2,16E+00;;
92;9,00E-02;-2,32E+00;;
93;9,00E-02;-2,32E+00;;
94;9,20E-02;-2,32E+00;;
95;9,20E-02;-2,32E+00;;
96;9,80E-02;-2,64E+00;;
97;9,80E-02;-2,64E+00;;
98;9,80E-02;-2,64E+00;;
99;9,80E-02;-2,64E+00;;
100;9,40E-02;-2,80E+00;;
101;9,40E-02;-2,80E+00;;
102;9,20E-02;-2,80E+00;;
103;9,20E-02;-2,80E+00;;
104;8,40E-02;-2,96E+00;;
105;8,40E-02;-2,96E+00;;
106;7,00E-02;-2,96E+00;;
107;7,00E-02;-2,96E+00;;
108;7,00E-02;-3,20E+00;;
109;7,00E-02;-3,20E+00;;
110;6,60E-02;-3,20E+00;;
111;6,60E-02;-3,20E+00;;
112;5,60E-02;-3,36E+00;;
113;5,60E-02;-3,36E+00;;
114;5,60E-02;-3,36E+00;;
115;5,60E-02;-3,36E+00;;
116;5,00E-02;-3,52E+00;;
117;5,00E-02;-3,52E+00;;
118;4,00E-02;-3,52E+00;;
119;4,00E-02;-3,52E+00;;
120;3,20E-02;-3,68E+00;;
121;3,20E-02;-3,68E+00;;
122;2,60E-02;-3,68E+00;;
123;2,60E-02;-3,68E+00;;
124;1,60E-02;-3,92E+00;;
125;1,60E-02;-3,92E+00;;
126;1,80E-02;-3,92E+00;;
127;1,80E-02;-3,92E+00;;
128;1,00E-02;-4,08E+00;;
129;1,00E-02;-4,08E+00;;
130;8,00E-03;-4,08E+00;;
131;8,00E-03;-4,08E+00;;
132;1,00E-02;-4,16E+00;;
133;1,00E-02;-4,16E+00;;
134;1,80E-02;-4,16E+00;;
135;1,80E-02;-4,16E+00;;
136;1,60E-02;-4,32E+00;;
137;1,60E-02;-4,32E+00;;
138;1,80E-02;-4,32E+00;;
139;1,80E-02;-4,32E+00;;
140;1,20E-02;-4,40E+00;;
141;1,20E-02;-4,40E+00;;
142;1,20E-02;-4,40E+00;;
143;1,20E-02;-4,40E+00;;
144;1,80E-02;-4,56E+00;;
145;1,80E-02;-4,56E+00;;
146;3,00E-02;-4,56E+00;;
147;3,00E-02;-4,56E+00;;
148;2,80E-02;-4,72E+00;;
149;2,80E-02;-4,72E+00;;
150;2,20E-02;-4,72E+00;;
151;2,20E-02;-4,72E+00;;
152;2,00E-02;-4,72E+00;;
153;2,00E-02;-4,72E+00;;
154;1,00E-02;-4,72E+00;;
155;1,00E-02;-4,72E+00;;
156;2,00E-02;-4,80E+00;;
157;2,00E-02;-4,80E+00;;
158;2,60E-02;-4,80E+00;;
159;2,60E-02;-4,80E+00;;
160;1,80E-02;-4,88E+00;;
161;1,80E-02;-4,88E+00;;
162;8,00E-03;-4,88E+00;;
163;8,00E-03;-4,88E+00;;
164;8,00E-03;-4,96E+00;;
165;8,00E-03;-4,96E+00;;
166;6,00E-03;-4,96E+00;;
167;6,00E-03;-4,96E+00;;
168;6,00E-03;-4,96E+00;;
169;6,00E-03;-4,96E+00;;
170;1,60E-02;-4,96E+00;;
171;1,60E-02;-4,96E+00;;
172;6,00E-03;-4,96E+00;;
173;6,00E-03;-4,96E+00;;
174;1,20E-02;-4,96E+00;;
175;1,20E-02;-4,96E+00;;
176;1,80E-02;-4,96E+00;;
177;1,80E-02;-4,96E+00;;
178;1,60E-02;-4,96E+00;;
179;1,60E-02;-4,96E+00;;
180;4,00E-03;-5,04E+00;;
181;4,00E-03;-5,04E+00;;
182;0,00E+00;-5,04E+00;;
183;0,00E+00;-5,04E+00;;
184;4,00E-03;-5,04E+00;;
185;4,00E-03;-5,04E+00;;
186;1,20E-02;-5,04E+00;;
187;1,20E-02;-5,04E+00;;
188;1,20E-02;-4,96E+00;;
189;1,20E-02;-4,96E+00;;
190;6,00E-03;-4,96E+00;;
191;6,00E-03;-4,96E+00;;
192;1,00E-02;-4,96E+00;;
193;1,00E-02;-4,96E+00;;
194;2,20E-02;-4,96E+00;;
195;2,20E-02;-4,96E+00;;
196;1,60E-02;-4,88E+00;;
197;1,60E-02;-4,88E+00;;
198;4,00E-03;-4,88E+00;;
199;4,00E-03;-4,88E+00;;
200;1,20E-02;-4,88E+00;;
201;1,20E-02;-4,88E+00;;
202;6,00E-03;-4,88E+00;;
203;6,00E-03;-4,88E+00;;
204;2,00E-03;-4,80E+00;;
205;2,00E-03;-4,80E+00;;
206;4,00E-03;-4,80E+00;;
207;4,00E-03;-4,80E+00;;
208;6,00E-03;-4,72E+00;;
209;6,00E-03;-4,72E+00;;
210;2,00E-03;-4,72E+00;;
211;2,00E-03;-4,72E+00;;
212;1,00E-02;-4,64E+00;;
213;1,00E-02;-4,64E+00;;
214;4,00E-03;-4,64E+00;;
215;4,00E-03;-4,64E+00;;
216;-2,00E-03;-4,56E+00;;
217;-2,00E-03;-4,56E+00;;
218;6,00E-03;-4,56E+00;;
219;6,00E-03;-4,56E+00;;
220;4,00E-03;-4,40E+00;;
221;4,00E-03;-4,40E+00;;
222;4,00E-03;-4,40E+00;;
223;4,00E-03;-4,40E+00;;
224;1,00E-02;-4,24E+00;;
225;1,00E-02;-4,24E+00;;
226;2,20E-02;-4,24E+00;;
227;2,20E-02;-4,24E+00;;
228;2,20E-02;-4,16E+00;;
229;2,20E-02;-4,16E+00;;
230;2,20E-02;-4,16E+00;;
231;2,20E-02;-4,16E+00;;
232;2,00E-03;-4,00E+00;;
233;2,00E-03;-4,00E+00;;
234;0,00E+00;-4,00E+00;;
235;0,00E+00;-4,00E+00;;
236;0,00E+00;-3,76E+00;;
237;0,00E+00;-3,76E+00;;
238;2,00E-03;-3,76E+00;;
239;2,00E-03;-3,76E+00;;
240;-8,00E-03;-3,60E+00;;
241;-8,00E-03;-3,60E+00;;
242;0,00E+00;-3,60E+00;;
243;0,00E+00;-3,60E+00;;
244;4,00E-03;-3,52E+00;;
245;4,00E-03;-3,52E+00;;
246;-4,00E-03;-3,52E+00;;
247;-4,00E-03;-3,52E+00;;
248;-1,60E-02;-3,28E+00;;
249;-1,60E-02;-3,28E+00;;
250;-2,00E-03;-3,28E+00;;
251;-2,00E-03;-3,28E+00;;
252;6,00E-03;-3,04E+00;;
253;6,00E-03;-3,04E+00;;
254;6,00E-03;-3,04E+00;;
255;6,00E-03;-3,04E+00;;
256;-1,80E-02;-2,88E+00;;
257;-1,80E-02;-2,88E+00;;
258;-2,80E-02;-2,88E+00;;
259;-2,80E-02;-2,88E+00;;
260;-2,00E-03;-2,72E+00;;
261;-2,00E-03;-2,72E+00;;
262;0,00E+00;-2,72E+00;;
263;0,00E+00;-2,72E+00;;
264;-2,40E-02;-2,48E+00;;
265;-2,40E-02;-2,48E+00;;
266;-1,40E-02;-2,48E+00;;
267;-1,40E-02;-2,48E+00;;
268;1,20E-02;-2,24E+00;;
269;1,20E-02;-2,24E+00;;
270;6,00E-03;-2,24E+00;;
271;6,00E-03;-2,24E+00;;
272;-1,40E-02;-2,00E+00;;
273;-1,40E-02;-2,00E+00;;
274;-8,00E-03;-2,00E+00;;
275;-8,00E-03;-2,00E+00;;
276;-6,00E-03;-1,84E+00;;
277;-6,00E-03;-1,84E+00;;
278;2,00E-03;-1,84E+00;;
279;2,00E-03;-1,84E+00;;
280;2,00E-03;-1,52E+00;;
281;2,00E-03;-1,52E+00;;
282;-6,00E-03;-1,52E+00;;
283;-6,00E-03;-1,52E+00;;
284;-1,40E-02;-1,28E+00;;
285;-1,40E-02;-1,28E+00;;
286;-4,00E-03;-1,28E+00;;
287;-4,00E-03;-1,28E+00;;
288;-8,00E-03;-1,12E+00;;
289;-8,00E-03;-1,12E+00;;
290;-2,20E-02;-1,12E+00;;
291;-2,20E-02;-1,12E+00;;
292;-2,00E-02;-8,00E-01;;
293;-2,00E-02;-8,00E-01;;
294;-2,20E-02;-8,00E-01;;
295;-2,20E-02;-8,00E-01;;
296;-1,40E-02;-5,60E-01;;
297;-1,40E-02;-5,60E-01;;
298;-2,00E-02;-5,60E-01;;
299;-2,00E-02;-5,60E-01;;
300;-2,80E-02;-4,00E-01;;
301;-2,80E-02;-4,00E-01;;
302;-3,40E-02;-4,00E-01;;
303;-3,40E-02;-4,00E-01;;
304;-2,60E-02;-8,00E-02;;
305;-2,60E-02;-8,00E-02;;
306;-3,80E-02;-8,00E-02;;
307;-3,80E-02;-8,00E-02;;
308;-5,40E-02;1,60E-01;;
309;-5,40E-02;1,60E-01;;
310;-5,20E-02;1,60E-01;;
311;-5,20E-02;1,60E-01;;
312;-5,00E-02;4,00E-01;;
313;-5,00E-02;4,00E-01;;
314;-5,40E-02;4,00E-01;;
315;-5,40E-02;4,00E-01;;
316;-6,00E-02;7,20E-01;;
317;-6,00E-02;7,20E-01;;
318;-6,80E-02;7,20E-01;;
319;-6,80E-02;7,20E-01;;
320;-6,00E-02;8,80E-01;;
321;-6,00E-02;8,80E-01;;
322;-5,40E-02;8,80E-01;;
323;-5,40E-02;8,80E-01;;
324;-7,60E-02;1,12E+00;;
325;-7,60E-02;1,12E+00;;
326;-8,40E-02;1,12E+00;;
327;-8,40E-02;1,12E+00;;
328;-7,80E-02;1,44E+00;;
329;-7,80E-02;1,44E+00;;
330;-8,60E-02;1,44E+00;;
331;-8,60E-02;1,44E+00;;
332;-8,80E-02;1,60E+00;;
333;-8,80E-02;1,60E+00;;
334;-9,00E-02;1,60E+00;;
335;-9,00E-02;1,60E+00;;
336;-8,40E-02;1,92E+00;;
337;-8,40E-02;1,92E+00;;
338;-7,80E-02;1,92E+00;;
339;-7,80E-02;1,92E+00;;
340;-6,40E-02;2,08E+00;;
341;-6,40E-02;2,08E+00;;
342;-7,20E-02;2,08E+00;;
343;-7,20E-02;2,08E+00;;
344;-7,60E-02;2,32E+00;;
345;-7,60E-02;2,32E+00;;
346;-7,00E-02;2,32E+00;;
347;-7,00E-02;2,32E+00;;
348;-6,80E-02;2,48E+00;;
349;-6,80E-02;2,48E+00;;
350;-7,00E-02;2,48E+00;;
351;-7,00E-02;2,48E+00;;
352;-7,40E-02;2,80E+00;;
353;-7,40E-02;2,80E+00;;
354;-8,20E-02;2,80E+00;;
355;-8,20E-02;2,80E+00;;
356;-8,40E-02;2,96E+00;;
357;-8,40E-02;2,96E+00;;
358;-7,00E-02;2,96E+00;;
359;-7,00E-02;2,96E+00;;
360;-5,80E-02;3,12E+00;;
361;-5,80E-02;3,12E+00;;
362;-5,00E-02;3,12E+00;;
363;-5,00E-02;3,12E+00;;
364;-3,40E-02;3,36E+00;;
365;-3,40E-02;3,36E+00;;
366;-3,40E-02;3,36E+00;;
367;-3,40E-02;3,36E+00;;
368;-3,80E-02;3,52E+00;;
369;-3,80E-02;3,52E+00;;
370;-2,80E-02;3,52E+00;;
371;-2,80E-02;3,52E+00;;
372;-2,80E-02;3,68E+00;;
373;-2,80E-02;3,68E+00;;
374;-3,20E-02;3,68E+00;;
375;-3,20E-02;3,68E+00;;
376;-2,40E-02;3,84E+00;;
377;-2,40E-02;3,84E+00;;
378;-2,60E-02;3,84E+00;;
379;-2,60E-02;3,84E+00;;
380;-3,00E-02;3,92E+00;;
381;-3,00E-02;3,92E+00;;
382;-1,80E-02;3,92E+00;;
383;-1,80E-02;3,92E+00;;
384;-1,60E-02;4,16E+00;;
385;-1,60E-02;4,16E+00;;
386;-1,80E-02;4,16E+00;;
387;-1,80E-02;4,16E+00;;
388;-1,80E-02;4,24E+00;;
389;-1,80E-02;4,24E+00;;
390;-2,20E-02;4,24E+00;;
391;-2,20E-02;4,24E+00;;
392;-2,40E-02;4,32E+00;;
393;-2,40E-02;4,32E+00;;
394;-1,60E-02;4,32E+00;;
395;-1,60E-02;4,32E+00;;
396;-2,00E-02;4,48E+00;;
397;-2,00E-02;4,48E+00;;
398;-2,60E-02;4,48E+00;;
399;-2,60E-02;4,48E+00;;
400;-1,80E-02;4,56E+00;;
401;-1,80E-02;4,56E+00;;
402;-1,40E-02;4,56E+00;;
403;-1,40E-02;4,56E+00;;
404;-2,60E-02;4,64E+00;;
405;-2,60E-02;4,64E+00;;
406;-2,20E-02;4,64E+00;;
407;-2,20E-02;4,64E+00;;
408;-2,00E-02;4,80E+00;;
