X;CH1;CH2;Start;Increment
Sequence;Volt;Volt;-6,00E-06;1,00E-08
0;-4,00E-03;2,16E+00;;
1;-4,00E-03;2,16E+00;;
2;-4,00E-03;2,08E+00;;
3;-4,00E-03;2,08E+00;;
4;-6,00E-03;2,00E+00;;
5;-6,00E-03;2,00E+00;;
6;-2,00E-03;1,84E+00;;
7;-2,00E-03;1,84E+00;;
8;-4,00E-03;1,76E+00;;
9;-4,00E-03;1,76E+00;;
10;-6,00E-03;1,60E+00;;
11;-6,00E-03;1,60E+00;;
12;-6,00E-03;1,52E+00;;
13;-6,00E-03;1,52E+00;;
14;-6,00E-03;1,36E+00;;
15;-6,00E-03;1,36E+00;;
16;-4,00E-03;1,28E+00;;
17;-4,00E-03;1,28E+00;;
18;0,00E+00;1,12E+00;;
19;0,00E+00;1,12E+00;;
20;2,00E-03;1,04E+00;;
21;2,00E-03;1,04E+00;;
22;0,00E+00;8,80E-01;;
23;0,00E+00;8,80E-01;;
24;4,00E-03;8,00E-01;;
25;4,00E-03;8,00E-01;;
26;6,00E-03;6,40E-01;;
27;6,00E-03;6,40E-01;;
28;4,00E-03;5,60E-01;;
29;4,00E-03;5,60E-01;;
30;6,00E-03;4,00E-01;;
31;6,00E-03;4,00E-01;;
32;6,00E-03;3,20E-01;;
33;6,00E-03;3,20E-01;;
34;4,00E-03;1,60E-01;;
35;4,00E-03;1,60E-01;;
36;6,00E-03;8,00E-02;;
37;6,00E-03;8,00E-02;;
38;8,00E-03;-8,00E-02;;
39;8,00E-03;-8,00E-02;;
40;1,00E-02;-1,60E-01;;
41;1,00E-02;-1,60E-01;;
42;1,40E-02;-3,20E-01;;
43;1,40E-02;-3,20E-01;;
44;1,40E-02;-4,00E-01;;
45;1,40E-02;-4,00E-01;;
46;1,40E-02;-5,60E-01;;
47;1,40E-02;-5,60E-01;;
48;1,80E-02;-7,20E-01;;
49;1,80E-02;-7,20E-01;;
50;2,00E-02;-8,00E-01;;
51;2,00E-02;-8,00E-01;;
52;2,20E-02;-9,60E-01;;
53;2,20E-02;-9,60E-01;;
54;2,20E-02;-1,04E+00;;
55;2,20E-02;-1,04E+00;;
56;2,40E-02;-1,20E+00;;
57;2,40E-02;-1,20E+00;;
58;2,20E-02;-1,28E+00;;
59;2,20E-02;-1,28E+00;;
60;2,60E-02;-1,44E+00;;
61;2,60E-02;-1,44E+00;;
62;3,00E-02;-1,52E+00;;
63;3,00E-02;-1,52E+00;;
64;3,00E-02;-1,68E+00;;
65;3,00E-02;-1,68E+00;;
66;3,40E-02;-1,76E+00;;
67;3,40E-02;-1,76E+00;;
68;3,80E-02;-1,92E+00;;
69;3,80E-02;-1,92E+00;;
70;4,20E-02;-2,00E+00;;
71;4,20E-02;-2,00E+00;;
72;4,60E-02;-2,08E+00;;
73;4,60E-02;-2,08E+00;;
74;5,20E-02;-2,24E+00;;
75;5,20E-02;-2,24E+00;;
76;5,20E-02;-2,32E+00;;
77;5,20E-02;-2,32E+00;;
78;5,40E-02;-2,48E+00;;
79;5,40E-02;-2,48E+00;;
80;5,60E-02;-2,56E+00;;
81;5,60E-02;-2,56E+00;;
82;5,60E-02;-2,64E+00;;
83;5,60E-02;-2,64E+00;;
84;6,00E-02;-2,80E+00;;
85;6,00E-02;-2,80E+00;;
86;6,60E-02;-2,88E+00;;
87;6,60E-02;-2,88E+00;;
88;6,60E-02;-2,96E+00;;
89;6,60E-02;-2,96E+00;;
90;7,00E-02;-3,12E+00;;
91;7,00E-02;-3,12E+00;;
92;7,60E-02;-3,20E+00;;
93;7,60E-02;-3,20E+00;;
94;8,00E-02;-3,28E+00;;
95;8,00E-02;-3,28E+00;;
96;8,00E-02;-3,36E+00;;
97;8,00E-02;-3,36E+00;;
98;8,00E-02;-3,44E+00;;
99;8,00E-02;-3,44E+00;;
100;7,60E-02;-3,52E+00;;
101;7,60E-02;-3,52E+00;;
102;7,60E-02;-3,68E+00;;
103;7,60E-02;-3,68E+00;;
104;7,40E-02;-3,76E+00;;
105;7,40E-02;-3,76E+00;;
106;6,80E-02;-3,84E+00;;
107;6,80E-02;-3,84E+00;;
108;6,80E-02;-3,92E+00;;
109;6,80E-02;-3,92E+00;;
110;7,20E-02;-4,00E+00;;
111;7,20E-02;-4,00E+00;;
112;7,20E-02;-4,00E+00;;
113;7,20E-02;-4,00E+00;;
114;6,80E-02;-4,08E+00;;
115;6,80E-02;-4,08E+00;;
116;6,60E-02;-4,16E+00;;
117;6,60E-02;-4,16E+00;;
118;6,60E-02;-4,24E+00;;
119;6,60E-02;-4,24E+00;;
120;6,20E-02;-4,32E+00;;
121;6,20E-02;-4,32E+00;;
122;5,80E-02;-4,40E+00;;
123;5,80E-02;-4,40E+00;;
124;5,20E-02;-4,40E+00;;
125;5,20E-02;-4,40E+00;;
126;5,00E-02;-4,48E+00;;
127;5,00E-02;-4,48E+00;;
128;5,00E-02;-4,56E+00;;
129;5,00E-02;-4,56E+00;;
130;4,80E-02;-4,56E+00;;
131;4,80E-02;-4,56E+00;;
132;4,40E-02;-4,64E+00;;
133;4,40E-02;-4,64E+00;;
134;4,60E-02;-4,64E+00;;
135;4,60E-02;-4,64E+00;;
136;4,40E-02;-4,72E+00;;
137;4,40E-02;-4,72E+00;;
138;4,00E-02;-4,72E+00;;
139;4,00E-02;-4,72E+00;;
140;3,80E-02;-4,80E+00;;
141;3,80E-02;-4,80E+00;;
142;3,80E-02;-4,80E+00;;
143;3,80E-02;-4,80E+00;;
144;3,60E-02;-4,88E+00;;
145;3,60E-02;-4,88E+00;;
146;3,40E-02;-4,88E+00;;
147;3,40E-02;-4,88E+00;;
148;3,00E-02;-4,88E+00;;
149;3,00E-02;-4,88E+00;;
150;2,60E-02;-4,96E+00;;
151;2,60E-02;-4,96E+00;;
152;2,60E-02;-4,96E+00;;
153;2,60E-02;-4,96E+00;;
154;2,40E-02;-4,88E+00;;
155;2,40E-02;-4,88E+00;;
156;2,00E-02;-4,88E+00;;
157;2,00E-02;-4,88E+00;;
158;2,00E-02;-4,96E+00;;
159;2,00E-02;-4,96E+00;;
160;2,00E-02;-4,88E+00;;
161;2,00E-02;-4,88E+00;;
162;1,80E-02;-4,88E+00;;
163;1,80E-02;-4,88E+00;;
164;2,00E-02;-4,88E+00;;
165;2,00E-02;-4,88E+00;;
166;1,80E-02;-4,88E+00;;
167;1,80E-02;-4,88E+00;;
168;1,60E-02;-4,88E+00;;
169;1,60E-02;-4,88E+00;;
170;1,40E-02;-4,88E+00;;
171;1,40E-02;-4,88E+00;;
172;1,40E-02;-4,88E+00;;
173;1,40E-02;-4,88E+00;;
174;1,00E-02;-4,88E+00;;
175;1,00E-02;-4,88E+00;;
176;1,20E-02;-4,80E+00;;
177;1,20E-02;-4,80E+00;;
178;1,20E-02;-4,80E+00;;
179;1,20E-02;-4,80E+00;;
180;1,00E-02;-4,80E+00;;
181;1,00E-02;-4,80E+00;;
182;1,20E-02;-4,80E+00;;
183;1,20E-02;-4,80E+00;;
184;1,20E-02;-4,72E+00;;
185;1,20E-02;-4,72E+00;;
186;1,20E-02;-4,72E+00;;
187;1,20E-02;-4,72E+00;;
188;1,20E-02;-4,64E+00;;
189;1,20E-02;-4,64E+00;;
190;1,20E-02;-4,64E+00;;
191;1,20E-02;-4,64E+00;;
192;8,00E-03;-4,56E+00;;
193;8,00E-03;-4,56E+00;;
194;8,00E-03;-4,56E+00;;
195;8,00E-03;-4,56E+00;;
196;1,20E-02;-4,48E+00;;
197;1,20E-02;-4,48E+00;;
198;1,00E-02;-4,40E+00;;
199;1,00E-02;-4,40E+00;;
200;1,00E-02;-4,40E+00;;
201;1,00E-02;-4,40E+00;;
202;1,00E-02;-4,32E+00;;
203;1,00E-02;-4,32E+00;;
204;1,00E-02;-4,24E+00;;
205;1,00E-02;-4,24E+00;;
206;1,00E-02;-4,24E+00;;
207;1,00E-02;-4,24E+00;;
208;1,00E-02;-4,16E+00;;
209;1,00E-02;-4,16E+00;;
210;6,00E-03;-4,08E+00;;
211;6,00E-03;-4,08E+00;;
212;6,00E-03;-4,00E+00;;
213;6,00E-03;-4,00E+00;;
214;8,00E-03;-3,92E+00;;
215;8,00E-03;-3,92E+00;;
216;6,00E-03;-3,84E+00;;
217;6,00E-03;-3,84E+00;;
218;6,00E-03;-3,76E+00;;
219;6,00E-03;-3,76E+00;;
220;8,00E-03;-3,68E+00;;
221;8,00E-03;-3,68E+00;;
222;6,00E-03;-3,60E+00;;
223;6,00E-03;-3,60E+00;;
224;6,00E-03;-3,52E+00;;
225;6,00E-03;-3,52E+00;;
226;4,00E-03;-3,44E+00;;
227;4,00E-03;-3,44E+00;;
228;4,00E-03;-3,36E+00;;
229;4,00E-03;-3,36E+00;;
230;6,00E-03;-3,28E+00;;
231;6,00E-03;-3,28E+00;;
232;6,00E-03;-3,20E+00;;
233;6,00E-03;-3,20E+00;;
234;2,00E-03;-3,04E+00;;
235;2,00E-03;-3,04E+00;;
236;0,00E+00;-2,96E+00;;
237;0,00E+00;-2,96E+00;;
238;2,00E-03;-2,88E+00;;
239;2,00E-03;-2,88E+00;;
240;0,00E+00;-2,80E+00;;
241;0,00E+00;-2,80E+00;;
242;-2,00E-03;-2,64E+00;;
243;-2,00E-03;-2,64E+00;;
244;0,00E+00;-2,56E+00;;
245;0,00E+00;-2,56E+00;;
246;0,00E+00;-2,48E+00;;
247;0,00E+00;-2,48E+00;;
248;2,00E-03;-2,32E+00;;
249;2,00E-03;-2,32E+00;;
250;2,00E-03;-2,24E+00;;
251;2,00E-03;-2,24E+00;;
252;0,00E+00;-2,16E+00;;
253;0,00E+00;-2,16E+00;;
254;0,00E+00;-2,00E+00;;
255;0,00E+00;-2,00E+00;;
256;0,00E+00;-1,92E+00;;
257;0,00E+00;-1,92E+00;;
258;-4,00E-03;-1,76E+00;;
259;-4,00E-03;-1,76E+00;;
260;-6,00E-03;-1,68E+00;;
261;-6,00E-03;-1,68E+00;;
262;-4,00E-03;-1,52E+00;;
263;-4,00E-03;-1,52E+00;;
264;-4,00E-03;-1,44E+00;;
265;-4,00E-03;-1,44E+00;;
266;-2,00E-03;-1,36E+00;;
267;-2,00E-03;-1,36E+00;;
268;2,00E-03;-1,20E+00;;
269;2,00E-03;-1,20E+00;;
270;0,00E+00;-1,12E+00;;
271;0,00E+00;-1,12E+00;;
272;-2,00E-03;-9,60E-01;;
273;-2,00E-03;-9,60E-01;;
274;-2,00E-03;-8,80E-01;;
275;-2,00E-03;-8,80E-01;;
276;-4,00E-03;-7,20E-01;;
277;-4,00E-03;-7,20E-01;;
278;-6,00E-03;-5,60E-01;;
279;-6,00E-03;-5,60E-01;;
280;-6,00E-03;-4,80E-01;;
281;-6,00E-03;-4,80E-01;;
282;-8,00E-03;-3,20E-01;;
283;-8,00E-03;-3,20E-01;;
284;-1,00E-02;-2,40E-01;;
285;-1,00E-02;-2,40E-01;;
286;-8,00E-03;-8,00E-02;;
