X;CH1;CH2;Start;Increment
Sequence;Volt;Volt;-6,00E-06;1,00E-08
0;-1,10E-01;8,80E-01;;
1;-1,10E-01;8,80E-01;;
2;-1,34E-01;1,04E+00;;
3;-1,34E-01;1,04E+00;;
4;-1,52E-01;1,20E+00;;
5;-1,52E-01;1,20E+00;;
6;-1,56E-01;1,36E+00;;
7;-1,56E-01;1,36E+00;;
8;-1,50E-01;1,52E+00;;
9;-1,50E-01;1,52E+00;;
10;-1,42E-01;1,68E+00;;
11;-1,42E-01;1,68E+00;;
12;-1,30E-01;1,76E+00;;
13;-1,30E-01;1,76E+00;;
14;-1,16E-01;1,92E+00;;
15;-1,16E-01;1,92E+00;;
16;-1,02E-01;2,08E+00;;
17;-1,02E-01;2,08E+00;;
18;-8,60E-02;2,24E+00;;
19;-8,60E-02;2,24E+00;;
20;-7,40E-02;2,32E+00;;
21;-7,40E-02;2,32E+00;;
22;-6,20E-02;2,48E+00;;
23;-6,20E-02;2,48E+00;;
24;-5,00E-02;2,64E+00;;
25;-5,00E-02;2,64E+00;;
26;-4,00E-02;2,72E+00;;
27;-4,00E-02;2,72E+00;;
28;-3,20E-02;2,88E+00;;
29;-3,20E-02;2,88E+00;;
30;-2,40E-02;2,96E+00;;
31;-2,40E-02;2,96E+00;;
32;-2,00E-02;3,12E+00;;
33;-2,00E-02;3,12E+00;;
34;-1,80E-02;3,20E+00;;
35;-1,80E-02;3,20E+00;;
36;-1,40E-02;3,36E+00;;
37;-1,40E-02;3,36E+00;;
38;-1,20E-02;3,44E+00;;
39;-1,20E-02;3,44E+00;;
40;-1,00E-02;3,52E+00;;
41;-1,00E-02;3,52E+00;;
42;-8,00E-03;3,68E+00;;
43;-8,00E-03;3,68E+00;;
44;-8,00E-03;3,76E+00;;
45;-8,00E-03;3,76E+00;;
46;-1,00E-02;3,84E+00;;
47;-1,00E-02;3,84E+00;;
48;-8,00E-03;4,00E+00;;
49;-8,00E-03;4,00E+00;;
50;-6,00E-03;4,08E+00;;
51;-6,00E-03;4,08E+00;;
52;-6,00E-03;4,16E+00;;
53;-6,00E-03;4,16E+00;;
54;-6,00E-03;4,24E+00;;
55;-6,00E-03;4,24E+00;;
56;-6,00E-03;4,32E+00;;
57;-6,00E-03;4,32E+00;;
58;-6,00E-03;4,40E+00;;
59;-6,00E-03;4,40E+00;;
60;-4,00E-03;4,40E+00;;
61;-4,00E-03;4,40E+00;;
62;-4,00E-03;4,48E+00;;
63;-4,00E-03;4,48E+00;;
64;-4,00E-03;4,56E+00;;
65;-4,00E-03;4,56E+00;;
66;-4,00E-03;4,64E+00;;
67;-4,00E-03;4,64E+00;;
68;-4,00E-03;4,72E+00;;
69;-4,00E-03;4,72E+00;;
70;-4,00E-03;4,72E+00;;
71;-4,00E-03;4,72E+00;;
72;-2,00E-03;4,80E+00;;
73;-2,00E-03;4,80E+00;;
74;0,00E+00;4,80E+00;;
75;0,00E+00;4,80E+00;;
76;-2,00E-03;4,80E+00;;
77;-2,00E-03;4,80E+00;;
78;-2,00E-03;4,88E+00;;
79;-2,00E-03;4,88E+00;;
80;-2,00E-03;4,88E+00;;
81;-2,00E-03;4,88E+00;;
82;-2,00E-03;4,88E+00;;
83;-2,00E-03;4,88E+00;;
84;0,00E+00;4,88E+00;;
85;0,00E+00;4,88E+00;;
86;0,00E+00;4,96E+00;;
87;0,00E+00;4,96E+00;;
88;-2,00E-03;4,96E+00;;
89;-2,00E-03;4,96E+00;;
90;-2,00E-03;4,96E+00;;
91;-2,00E-03;4,96E+00;;
92;2,00E-03;4,96E+00;;
93;2,00E-03;4,96E+00;;
94;2,00E-03;4,88E+00;;
95;2,00E-03;4,88E+00;;
96;2,00E-03;4,88E+00;;
97;2,00E-03;4,88E+00;;
98;0,00E+00;4,88E+00;;
99;0,00E+00;4,88E+00;;
100;0,00E+00;4,88E+00;;
101;0,00E+00;4,88E+00;;
102;0,00E+00;4,80E+00;;
103;0,00E+00;4,80E+00;;
104;0,00E+00;4,80E+00;;
105;0,00E+00;4,80E+00;;
106;-2,00E-03;4,72E+00;;
